구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
손절,195870.KS,해성디에스,2026-02-02,2026-02-03,64400.0,54500.0,2026-03-05,,,,,,,,-15.37,
손절,241710.KS,코스메카코리아,2026-01-29,2026-01-30,94800.0,74350.0,2026-03-05,,,,,,,,-21.57,
손절,006650.KS,대한유화,2026-02-24,2026-02-25,188900.0,140300.0,2026-03-05,,,,,,,,-25.73,
손절,036810.KS,에프에스티,2026-01-29,2026-01-30,47650.0,36400.0,2026-03-05,,,,,,,,-23.61,
손절,093370.KS,후성,2026-02-04,2026-02-05,8340.0,6950.0,2026-03-05,,,,,,,,-16.67,
손절,112040.KS,위메이드,2026-02-04,2026-02-05,29150.0,22775.0,2026-03-05,,,,,,,,-21.87,
손절,365340.KS,성일하이텍,2026-01-29,2026-01-30,72400.0,54550.0,2026-03-05,,,,,,,,-24.65,
손절,090460.KS,비에이치,2026-02-19,2026-02-20,20450.0,16395.0,2026-03-05,,,,,,,,-19.83,
손절,042000.KS,카페24,2026-02-04,2026-02-05,37600.0,28325.0,2026-03-05,,,,,,,,-24.67,
손절,060250.KS,NHN KCP,2026-01-30,2026-02-02,24200.0,19410.0,2026-03-05,,,,,,,,-19.79,
손절,090360.KS,로보스타,2026-01-26,2026-01-27,85300.0,66450.0,2026-03-05,,,,,,,,-22.1,
손절,041190.KS,우리기술투자,2026-02-04,2026-02-05,8100.0,6880.0,2026-03-05,,,,,,,,-15.06,
손절,025320.KS,시노펙스,2026-02-04,2026-02-05,8130.0,5870.0,2026-03-05,,,,,,,,-27.8,
손절,059090.KS,미코,2026-02-04,2026-02-05,17160.0,14015.0,2026-03-05,,,,,,,,-18.33,
손절,101730.KS,위메이드맥스,2026-02-04,2026-02-05,6750.0,5445.0,2026-03-05,,,,,,,,-19.33,
손절,006340.KS,대원전선,2026-02-27,2026-03-03,6650.0,5435.0,2026-03-05,,,,,,,,-18.27,
손절,114810.KS,한솔아이원스,2026-02-23,2026-02-24,17240.0,14330.0,2026-03-05,,,,,,,,-16.88,
익절,272210.KS,한화시스템,2026-01-16,2026-01-19,93800.0,148400.0,2026-03-04,,,,,,,,58.21,
손절,214450.KS,파마리서치,2026-02-02,2026-02-03,444500.0,304500.0,2026-03-04,,,,,,,,-31.5,
손절,001450.KS,현대해상,2026-02-20,2026-02-23,43000.0,30175.0,2026-03-04,,,,,,,,-29.83,
손절,251970.KS,펌텍코리아,2026-01-29,2026-01-30,68700.0,46475.0,2026-03-04,,,,,,,,-32.35,
익절,046890.KS,서울반도체,2026-02-05,2026-02-06,7110.0,13705.0,2026-02-26,,,,,,,,92.76,
익절,005930.KS,삼성전자,2026-01-06,2026-01-07,143500.0,203500.0,2026-02-25,,,,,,,,41.81,
익절,031330.KS,에스에이엠티,2026-01-08,2026-01-09,4020.0,5390.0,2026-02-25,,,,,,,,34.08,
익절,010120.KS,LS ELECTRIC,2026-01-21,2026-01-22,519920.2982350097,743526.0,2026-02-24,,,,,,,,43.01,
익절,002380.KS,KCC,2026-01-21,2026-01-22,428915.5429819617,597838.0,2026-02-24,,,,,,,,39.38,
