구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
보유중,161890.KS,한국콜마,2026-04-02,2026-04-03,77400.0,81900.0,,,,,,,72399.0,105373.0,5.81,11
보유중,001740.KS,SK네트웍스,2026-02-06,2026-02-09,5200.0,5250.0,,,,,,,4864.0,7079.0,0.96,64
보유중,024110.KS,기업은행,2026-02-03,2026-02-04,22350.0,22250.0,,,,,,,20906.0,30427.0,-0.45,69
보유중,093370.KS,후성,2026-04-10,2026-04-13,10740.0,10660.0,,,,,,,10046.0,14621.0,-0.74,1
보유중,088980.KS,맥쿼리인프라,2026-02-27,2026-03-03,11390.0,11300.0,,,,,,,10654.0,15506.0,-0.79,42
보유중,018670.KS,SK가스,2026-04-07,2026-04-08,249000.0,243500.0,,,,,,,232912.0,338990.0,-2.21,6
보유중,251270.KS,넷마블,2026-03-06,2026-03-09,51700.0,50200.0,,,,,,,48360.0,70385.0,-2.9,35
보유중,018260.KS,삼성에스디에스,2026-03-06,2026-03-09,155600.0,148700.0,,,,,,,145547.0,211835.0,-4.43,36
설정,pattern_mode,LEV Investor WFO,,,,,,,,,,,,,,
설정,market_regime,short 25 / long 169,,,,,,,,,,,,,,
설정,sell_threshold,+18.2%,,,,,,,,,,,,,,
설정,buy_threshold,-9.8%,,,,,,,,,,,,,,
설정,pullback_threshold,5.5%,,,,,,,,,,,,,,
설정,current_status,매수 허용,,,,,,,,,,,,,,
설정,kospi_close,"5,858.87",,,,,,,,,,,,,,
설정,disp_short,+6.0%,,,,,,,,,,,,,,
설정,disp_long,+35.8%,,,,,,,,,,,,,,
설정,alignment,no,,,,,,,,,,,,,,
설정,momentum_threshold,25.7%,,,,,,,,,,,,,,
설정,ranking_weights,mom 55.5% / investor 33.1% / volatility 11.4%,,,,,,,,,,,,,,
설정,score_mode,cross_sectional_rank,,,,,,,,,,,,,,
설정,leverage_mode,dynamic 1.20 / 1.45 / 1.75x,,,,,,,,,,,,,,
설정,max_slots,30,,,,,,,,,,,,,,
설정,scan_window,last 20 days,,,,,,,,,,,,,,
설정,holding_limit,49 days and under 10% profit -> exit,,,,,,,,,,,,,,
설정,stop_loss,6.5%,,,,,,,,,,,,,,
설정,take_profit,36.1%,,,,,,,,,,,,,,
설정,fee,0.17%,,,,,,,,,,,,,,
설정,slippage,"buy 0.20%, sell 0.20%",,,,,,,,,,,,,,
설정,is_return,+105.8%,,,,,,,,,,,,,,
설정,is_mdd,-22.8%,,,,,,,,,,,,,,
설정,oos_return,+112.4%,,,,,,,,,,,,,,
설정,oos_mdd,-11.8%,,,,,,,,,,,,,,
설정,data_period,2013-01-02 ~ 2026-04-07,,,,,,,,,,,,,,
