구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),패턴,상태,손절가,익절가,손익률(%),보유일수
손절,031210.KS,서울보증보험,2026-02-20,2026-02-23,63300.0,55650.0,2026-03-05,,,,,,-12.09,
손절,011790.KS,SKC,2026-01-22,2026-01-23,114300.0,98500.0,2026-03-05,,,,,,-13.82,
손절,004990.KS,롯데지주,2026-02-13,2026-02-19,36800.0,31250.0,2026-03-05,,,,,,-15.08,
손절,139480.KS,이마트,2026-02-05,2026-02-06,118100.0,93300.0,2026-03-05,,,,,,-21.0,
손절,008930.KS,한미사이언스,2026-01-29,2026-01-30,41800.0,38075.0,2026-03-05,,,,,,-8.91,
손절,000240.KS,한국앤컴퍼니,2026-02-10,2026-02-11,31200.0,25700.0,2026-03-05,,,,,,-17.63,
손절,068760.KS,셀트리온제약,2026-01-28,2026-01-29,74700.0,63350.0,2026-03-05,,,,,,-15.19,
손절,007340.KS,DN오토모티브,2026-02-12,2026-02-13,31364.76474371189,24550.0,2026-03-05,,,,,,-21.73,
손절,018670.KS,SK가스,2026-03-03,2026-03-04,292000.0,230500.0,2026-03-05,,,,,,-21.06,
손절,002790.KS,아모레퍼시픽홀딩스,2026-02-05,2026-02-06,30400.0,27225.0,2026-03-05,,,,,,-10.44,
손절,073240.KS,금호타이어,2026-02-09,2026-02-10,7000.0,6015.0,2026-03-05,,,,,,-14.07,
손절,007070.KS,GS리테일,2026-02-03,2026-02-04,22802.55438893312,19290.0,2026-03-05,,,,,,-15.4,
손절,006280.KS,녹십자,2026-01-27,2026-01-28,172600.0,149600.0,2026-03-05,,,,,,-13.33,
손절,008770.KS,호텔신라,2026-02-05,2026-02-06,50300.0,43225.0,2026-03-05,,,,,,-14.07,
손절,005070.KS,코스모신소재,2026-02-23,2026-02-24,60100.0,48400.0,2026-03-05,,,,,,-19.47,
손절,195940.KS,HK이노엔,2026-01-29,2026-01-30,57700.0,49450.0,2026-03-05,,,,,,-14.3,
손절,096530.KS,씨젠,2026-01-27,2026-01-28,26900.0,23800.0,2026-03-05,,,,,,-11.52,
손절,075580.KS,세진중공업,2026-01-09,2026-01-12,20550.0,16305.0,2026-03-05,,,,,,-20.66,
손절,195870.KS,해성디에스,2026-01-26,2026-01-27,57800.0,54500.0,2026-03-05,,,,,,-5.71,
손절,086450.KS,동국제약,2026-02-24,2026-02-25,22050.0,18805.0,2026-03-05,,,,,,-14.72,
손절,161580.KS,필옵틱스,2026-01-26,2026-01-27,49300.0,45225.0,2026-03-05,,,,,,-8.27,
손절,009450.KS,경동나비엔,2026-02-12,2026-02-13,67800.0,59450.0,2026-03-05,,,,,,-12.32,
손절,032190.KS,다우데이타,2026-01-28,2026-01-29,26350.0,23725.0,2026-03-05,,,,,,-9.96,
손절,084110.KS,휴온스글로벌,2026-02-25,2026-02-26,63300.0,60500.0,2026-03-05,,,,,,-4.42,
손절,006650.KS,대한유화,2026-02-12,2026-02-13,167000.0,140300.0,2026-03-05,,,,,,-15.99,
손절,050890.KS,쏠리드,2026-01-29,2026-01-30,8810.0,7795.0,2026-03-05,,,,,,-11.52,
손절,036810.KS,에프에스티,2026-01-22,2026-01-23,37400.0,36400.0,2026-03-05,,,,,,-2.67,
손절,003030.KS,세아제강지주,2026-02-19,2026-02-20,148700.0,128950.0,2026-03-05,,,,,,-13.28,
손절,093370.KS,후성,2026-01-28,2026-01-29,8820.0,6950.0,2026-03-05,,,,,,-21.2,
손절,178920.KS,PI첨단소재,2026-02-04,2026-02-05,19730.0,18135.0,2026-03-05,,,,,,-8.08,
손절,007700.KS,F&F홀딩스,2026-02-23,2026-02-24,23050.0,18760.0,2026-03-05,,,,,,-18.61,
손절,090460.KS,비에이치,2026-02-09,2026-02-10,19720.0,16395.0,2026-03-05,,,,,,-16.86,
손절,009520.KS,포스코엠텍,2026-01-16,2026-01-19,18470.0,17195.0,2026-03-05,,,,,,-6.9,
손절,067160.KS,SOOP,2026-01-27,2026-01-28,73700.0,65000.0,2026-03-05,,,,,,-11.8,
손절,060250.KS,NHN KCP,2026-01-23,2026-01-26,20100.0,19410.0,2026-03-05,,,,,,-3.43,
손절,039130.KS,하나투어,2026-02-05,2026-02-06,50600.0,42450.0,2026-03-05,,,,,,-16.11,
손절,041960.KS,코미팜,2026-02-13,2026-02-19,9550.0,8395.0,2026-03-05,,,,,,-12.09,
손절,002960.KS,한국쉘석유,2026-02-27,2026-03-03,593000.0,503750.0,2026-03-05,,,,,,-15.05,
손절,002240.KS,고려제강,2026-02-09,2026-02-10,24550.0,21350.0,2026-03-05,,,,,,-13.03,
손절,377740.KS,바이오노트,2026-02-24,2026-02-25,6230.0,5450.0,2026-03-05,,,,,,-12.52,
손절,095660.KS,네오위즈,2026-01-26,2026-01-27,29450.0,24025.0,2026-03-05,,,,,,-18.42,
손절,041190.KS,우리기술투자,2026-01-28,2026-01-29,8380.0,6880.0,2026-03-05,,,,,,-17.9,
손절,338840.KS,와이바이오로직스,2026-02-24,2026-02-25,28350.0,22475.0,2026-03-05,,,,,,-20.72,
손절,206650.KS,유바이오로직스,2026-02-24,2026-02-25,16110.0,14555.0,2026-03-05,,,,,,-9.65,
손절,004700.KS,조광피혁,2026-02-13,2026-02-19,75600.0,63900.0,2026-03-05,,,,,,-15.48,
손절,059090.KS,미코,2026-01-28,2026-01-29,16780.0,14015.0,2026-03-05,,,,,,-16.48,
손절,168360.KS,펨트론,2026-02-27,2026-03-03,25900.0,22750.0,2026-03-05,,,,,,-12.16,
손절,114810.KS,한솔아이원스,2026-02-11,2026-02-12,17230.0,14330.0,2026-03-05,,,,,,-16.83,
손절,200670.KS,휴메딕스,2026-02-19,2026-02-20,45350.0,36875.0,2026-03-05,,,,,,-18.69,
손절,041830.KS,인바디,2026-02-05,2026-02-06,34250.0,30550.0,2026-03-05,,,,,,-10.8,
손절,306200.KS,세아제강,2026-02-20,2026-02-23,143200.0,123850.0,2026-03-05,,,,,,-13.51,
손절,272450.KS,진에어,2026-02-10,2026-02-11,7400.0,6390.0,2026-03-05,,,,,,-13.65,
손절,093520.KS,매커스,2026-02-23,2026-02-24,30800.0,26925.0,2026-03-05,,,,,,-12.58,
손절,003520.KS,영진약품,2026-02-25,2026-02-26,2195.0,1892.0,2026-03-05,,,,,,-13.83,
익절,024060.KS,흥구석유,2026-02-20,2026-02-23,17690.0,30000.0,2026-03-05,,,,,,69.59,
손절,322310.KS,오로스테크놀로지,2026-02-26,2026-02-27,28850.0,27350.0,2026-03-05,,,,,,-5.2,
손절,215000.KS,골프존,2025-12-29,2025-12-30,58000.0,51325.0,2026-03-05,,,,,,-11.51,
손절,004360.KS,세방,2026-02-20,2026-02-23,16900.0,14630.0,2026-03-05,,,,,,-13.43,
손절,272110.KS,케이엔제이,2026-02-06,2026-02-09,35200.0,31625.0,2026-03-05,,,,,,-10.16,
손절,002900.KS,TYM,2026-01-29,2026-01-30,7169.128193885003,6545.0,2026-03-05,,,,,,-8.71,
손절,078070.KS,유비쿼스홀딩스,2026-02-23,2026-02-24,12610.0,10925.0,2026-03-05,,,,,,-13.36,
손절,241590.KS,화승엔터프라이즈,2026-02-05,2026-02-06,5620.0,4945.0,2026-03-05,,,,,,-12.01,
손절,058820.KS,CMG제약,2026-01-28,2026-01-29,2105.0,1792.0,2026-03-05,,,,,,-14.85,
손절,005710.KS,대원산업,2026-02-23,2026-02-24,16800.0,14150.0,2026-03-05,,,,,,-15.77,
손절,176750.KS,듀켐바이오,2026-02-02,2026-02-03,10700.0,9400.0,2026-03-05,,,,,,-12.15,
손절,000490.KS,대동,2026-02-10,2026-02-11,12050.0,9825.0,2026-03-05,,,,,,-18.46,
손절,108380.KS,대양전기공업,2026-02-12,2026-02-13,30200.0,27250.0,2026-03-05,,,,,,-9.77,
손절,000680.KS,LS네트웍스,2026-02-19,2026-02-20,3670.0,3082.0,2026-03-05,,,,,,-16.01,
